Rates for C2H3OO=CO+CH3O
P = 1.0E-1
T (K) 	 k 
200.000000 	 1.68005e-19 
225.000000 	 4.23924e-16 
250.000000 	 2.0888e-13 
275.000000 	 3.15682e-11 
300.000000 	 1.97535e-09 
325.000000 	 6.29469e-08 
350.000000 	 1.1837e-06 
375.000000 	 1.46294e-05 
400.000000 	 0.00012881 
425.000000 	 0.000859379 
450.000000 	 0.00455854 
475.000000 	 0.0199745 
500.000000 	 0.0745564 
525.000000 	 0.243012 
550.000000 	 0.705594 
575.000000 	 1.85415 
600.000000 	 4.46505 
625.000000 	 9.9517 
650.000000 	 20.6929 
675.000000 	 40.4094 
700.000000 	 74.5368 
725.000000 	 130.53 
750.000000 	 218.041 
775.000000 	 348.927 
800.000000 	 537.089 
825.000000 	 798.169 
850.000000 	 1149.15 
875.000000 	 1607.9 
900.000000 	 2192.74 
925.000000 	 2922.06 
950.000000 	 3813.9 
975.000000 	 4885.71 
1000.000000 	 6154.01 
1025.000000 	 7634.17 
1050.000000 	 9340.13 
1075.000000 	 11284.2 
1100.000000 	 13476.8 
1125.000000 	 15926.1 
1150.000000 	 18638.3 
1175.000000 	 21616.7 
1200.000000 	 24862.4 
1225.000000 	 28373.5 
1250.000000 	 32145.7 
1275.000000 	 36172.2 
1300.000000 	 40443.3 
1325.000000 	 44947.4 
1350.000000 	 49670.5 
1375.000000 	 54596.8 
1400.000000 	  59709 
1425.000000 	 64988.2 
1450.000000 	 70414.5 
1475.000000 	 75967.2 
1500.000000 	 81625.2 
1525.000000 	 87366.9 
1550.000000 	 93170.8 
1575.000000 	 99015.5 
1600.000000 	 104880 
1625.000000 	 110744 
1650.000000 	 116587 
1675.000000 	 122392 
1700.000000 	 128138 
1725.000000 	 133811 
1750.000000 	 139394 
1775.000000 	 144872 
1800.000000 	 150231 
1825.000000 	 155460 
1850.000000 	 160546 
1875.000000 	 165480 
1900.000000 	 170254 
1925.000000 	 174858 
1950.000000 	 179287 
1975.000000 	 183534 
2000.000000 	 187596 
