Rates for C2H3OO=CO+CH3O
P = 1.0E0
T (K) 	 k 
200.000000 	 6.78946e-07 
225.000000 	 2.33401e-06 
250.000000 	 7.29334e-06 
275.000000 	 2.09704e-05 
300.000000 	 5.60637e-05 
325.000000 	 0.000140607 
350.000000 	 0.000333459 
375.000000 	 0.000755054 
400.000000 	 0.00166556 
425.000000 	 0.00375657 
450.000000 	 0.00939281 
475.000000 	 0.0273767 
500.000000 	 0.088366 
525.000000 	 0.286965 
550.000000 	 0.880209 
575.000000 	 2.48857 
600.000000 	 6.45934 
625.000000 	 15.4564 
650.000000 	 34.3282 
675.000000 	 71.2758 
700.000000 	 139.297 
725.000000 	 257.829 
750.000000 	 454.468 
775.000000 	 766.595 
800.000000 	 1242.75 
825.000000 	 1943.55 
850.000000 	 2942.1 
875.000000 	 4323.68 
900.000000 	 6184.79 
925.000000 	 8631.56 
950.000000 	 11777.5 
975.000000 	 15741.1 
1000.000000 	 20642.4 
1025.000000 	 26600.6 
1050.000000 	 33730.4 
1075.000000 	 42139.6 
1100.000000 	 51926.4 
1125.000000 	 63177.4 
1150.000000 	 75966.1 
1175.000000 	 90351.9 
1200.000000 	 106380 
1225.000000 	 124081 
1250.000000 	 143473 
1275.000000 	 164564 
1300.000000 	 187350 
1325.000000 	 211822 
1350.000000 	 237969 
1375.000000 	 265780 
1400.000000 	 295250 
1425.000000 	 326382 
1450.000000 	 359199 
1475.000000 	 393741 
1500.000000 	 430082 
1525.000000 	 468327 
1550.000000 	 508627 
1575.000000 	 551188 
1600.000000 	 596275 
1625.000000 	 644229 
1650.000000 	 695477 
1675.000000 	 750545 
1700.000000 	 810074 
1725.000000 	 874836 
1750.000000 	 945755 
1775.000000 	 1.02393e+06 
1800.000000 	 1.11064e+06 
1825.000000 	 1.20741e+06 
1850.000000 	 1.316e+06 
1875.000000 	 1.43847e+06 
1900.000000 	 1.57719e+06 
1925.000000 	 1.7349e+06 
1950.000000 	 1.91477e+06 
1975.000000 	 2.12042e+06 
2000.000000 	 2.35598e+06 
