Rates for C4H6+H=C3H4-A+CH3
P = 1.0E-2
T (K) 	 k 
200.000000 	 4.99678e-07 
225.000000 	 0.000104645 
250.000000 	 0.00727993 
275.000000 	 0.227913 
300.000000 	 3.92935 
325.000000 	 42.8871 
350.000000 	 327.289 
375.000000 	 1877.97 
400.000000 	 8554.9 
425.000000 	 32249.1 
450.000000 	 103891 
475.000000 	 293364 
500.000000 	 740963 
525.000000 	 1.70158e+06 
550.000000 	 3.60064e+06 
575.000000 	 7.09855e+06 
600.000000 	 1.31586e+07 
625.000000 	 2.31124e+07 
650.000000 	 3.87179e+07 
675.000000 	 6.22042e+07 
700.000000 	 9.63022e+07 
725.000000 	 1.44259e+08 
750.000000 	 2.09837e+08 
775.000000 	 2.97302e+08 
800.000000 	 4.11401e+08 
825.000000 	 5.57331e+08 
850.000000 	 7.40711e+08 
875.000000 	 9.67545e+08 
900.000000 	 1.24419e+09 
925.000000 	 1.57734e+09 
950.000000 	 1.97398e+09 
975.000000 	 2.44137e+09 
1000.000000 	 2.98702e+09 
1025.000000 	 3.61869e+09 
1050.000000 	 4.34431e+09 
1075.000000 	 5.17203e+09 
1100.000000 	 6.11015e+09 
1125.000000 	 7.16709e+09 
1150.000000 	 8.35137e+09 
1175.000000 	 9.67158e+09 
1200.000000 	 1.11363e+10 
1225.000000 	 1.27542e+10 
1250.000000 	 1.45338e+10 
1275.000000 	 1.64834e+10 
1300.000000 	 1.86114e+10 
1325.000000 	 2.09258e+10 
1350.000000 	 2.34344e+10 
1375.000000 	 2.61447e+10 
1400.000000 	 2.90639e+10 
1425.000000 	 3.21987e+10 
1450.000000 	 3.55554e+10 
1475.000000 	 3.914e+10 
1500.000000 	 4.29576e+10 
1525.000000 	 4.70133e+10 
1550.000000 	 5.13111e+10 
1575.000000 	 5.58549e+10 
1600.000000 	 6.06476e+10 
1625.000000 	 6.56918e+10 
1650.000000 	 7.09893e+10 
1675.000000 	 7.65414e+10 
1700.000000 	 8.23486e+10 
1725.000000 	 8.84111e+10 
1750.000000 	 9.47283e+10 
1775.000000 	 1.01299e+11 
1800.000000 	 1.08121e+11 
1825.000000 	 1.15193e+11 
1850.000000 	 1.22511e+11 
1875.000000 	 1.30073e+11 
1900.000000 	 1.37874e+11 
1925.000000 	 1.4591e+11 
1950.000000 	 1.54177e+11 
1975.000000 	 1.62668e+11 
2000.000000 	 1.7138e+11 
