Rates for C4H6+H=C3H4-A+CH3
P = 1.0E2
T (K) 	 k 
200.000000 	 8.15414e-16 
225.000000 	 5.39129e-13 
250.000000 	 8.94957e-11 
275.000000 	 5.26661e-09 
300.000000 	 1.37542e-07 
325.000000 	 1.87944e-06 
350.000000 	 1.66813e-05 
375.000000 	 0.000152458 
400.000000 	 0.00184908 
425.000000 	 0.0209399 
450.000000 	 0.183634 
475.000000 	 1.25117 
500.000000 	 6.88636 
525.000000 	 31.7488 
550.000000 	 126.22 
575.000000 	 442.675 
600.000000 	 1394.55 
625.000000 	 4003.89 
650.000000 	 10601.7 
675.000000 	 26143.6 
700.000000 	 60536.4 
725.000000 	 132536 
750.000000 	 275982 
775.000000 	 549358 
800.000000 	 1.04993e+06 
825.000000 	 1.93399e+06 
850.000000 	 3.44493e+06 
875.000000 	 5.95131e+06 
900.000000 	 9.99714e+06 
925.000000 	 1.63669e+07 
950.000000 	 2.61681e+07 
975.000000 	 4.09342e+07 
1000.000000 	 6.2751e+07 
1025.000000 	 9.44093e+07 
1050.000000 	 1.39587e+08 
1075.000000 	 2.03067e+08 
1100.000000 	 2.90981e+08 
1125.000000 	 4.11108e+08 
1150.000000 	 5.732e+08 
1175.000000 	 7.89358e+08 
1200.000000 	 1.07446e+09 
1225.000000 	 1.44661e+09 
1250.000000 	 1.92771e+09 
1275.000000 	 2.54398e+09 
1300.000000 	 3.32662e+09 
1325.000000 	 4.31249e+09 
1350.000000 	 5.54487e+09 
1375.000000 	 7.07424e+09 
1400.000000 	 8.95915e+09 
1425.000000 	 1.12672e+10 
1450.000000 	 1.40758e+10 
1475.000000 	 1.74737e+10 
1500.000000 	 2.15615e+10 
1525.000000 	 2.64532e+10 
1550.000000 	 3.22773e+10 
1575.000000 	 3.91783e+10 
1600.000000 	 4.73176e+10 
1625.000000 	 5.68752e+10 
1650.000000 	 6.80513e+10 
1675.000000 	 8.10675e+10 
1700.000000 	 9.61686e+10 
1725.000000 	 1.13624e+11 
1750.000000 	 1.3373e+11 
1775.000000 	 1.5681e+11 
1800.000000 	 1.83218e+11 
1825.000000 	 2.13341e+11 
1850.000000 	 2.47597e+11 
1875.000000 	 2.86442e+11 
1900.000000 	 3.30369e+11 
1925.000000 	 3.79908e+11 
1950.000000 	 4.35635e+11 
1975.000000 	 4.98167e+11 
2000.000000 	 5.68167e+11 
