Rates for C4H6+H=C4H6-2+H
P = 1.0E-2
T (K) 	 k 
200.000000 	 1.04033e-07 
225.000000 	 1.39879e-05 
250.000000 	 0.000714067 
275.000000 	 0.0180354 
300.000000 	 0.268944 
325.000000 	 2.67449 
350.000000 	 19.3312 
375.000000 	 108.095 
400.000000 	 489.816 
425.000000 	 1863.63 
450.000000 	 6121.74 
475.000000 	 17753.1 
500.000000 	 46285.8 
525.000000 	 110129 
550.000000 	 242129 
575.000000 	 497051 
600.000000 	 961090 
625.000000 	 1.76337e+06 
650.000000 	 3.08926e+06 
675.000000 	 5.19524e+06 
700.000000 	 8.42496e+06 
725.000000 	 1.3226e+07 
750.000000 	 2.01668e+07 
775.000000 	 2.99538e+07 
800.000000 	 4.34469e+07 
825.000000 	 6.16749e+07 
850.000000 	 8.58482e+07 
875.000000 	 1.1737e+08 
900.000000 	 1.57847e+08 
925.000000 	 2.09093e+08 
950.000000 	 2.73136e+08 
975.000000 	 3.52218e+08 
1000.000000 	 4.48795e+08 
1025.000000 	 5.65536e+08 
1050.000000 	 7.05313e+08 
1075.000000 	 8.71198e+08 
1100.000000 	 1.06645e+09 
1125.000000 	 1.29452e+09 
1150.000000 	 1.55901e+09 
1175.000000 	 1.86369e+09 
1200.000000 	 2.21246e+09 
1225.000000 	 2.60936e+09 
1250.000000 	 3.05853e+09 
1275.000000 	 3.56423e+09 
1300.000000 	 4.13077e+09 
1325.000000 	 4.76256e+09 
1350.000000 	 5.46406e+09 
1375.000000 	 6.23976e+09 
1400.000000 	 7.09418e+09 
1425.000000 	 8.03186e+09 
1450.000000 	 9.05733e+09 
1475.000000 	 1.01751e+10 
1500.000000 	 1.13898e+10 
1525.000000 	 1.27057e+10 
1550.000000 	 1.41274e+10 
1575.000000 	 1.56593e+10 
1600.000000 	 1.73056e+10 
1625.000000 	 1.90706e+10 
1650.000000 	 2.09585e+10 
1675.000000 	 2.29734e+10 
1700.000000 	 2.51194e+10 
1725.000000 	 2.74003e+10 
1750.000000 	 2.982e+10 
1775.000000 	 3.23823e+10 
1800.000000 	 3.50907e+10 
1825.000000 	 3.79488e+10 
1850.000000 	 4.09601e+10 
1875.000000 	 4.41278e+10 
1900.000000 	 4.74551e+10 
1925.000000 	 5.09452e+10 
1950.000000 	 5.4601e+10 
1975.000000 	 5.84253e+10 
2000.000000 	 6.24209e+10 
