Rates for C4H6+H=C4H6-2+H
P = 1.0E2
T (K) 	 k 
200.000000 	 8.80918e-18 
225.000000 	 1.26174e-14 
250.000000 	 4.52059e-12 
275.000000 	 5.87573e-10 
300.000000 	 3.55343e-08 
325.000000 	 1.18875e-06 
350.000000 	 2.49045e-05 
375.000000 	 0.000358007 
400.000000 	 0.00378278 
425.000000 	 0.0309727 
450.000000 	 0.204789 
475.000000 	 1.12975 
500.000000 	 5.33831 
525.000000 	 22.0704 
550.000000 	 81.2432 
575.000000 	 270.149 
600.000000 	 821.282 
625.000000 	 2305.93 
650.000000 	 6030.93 
675.000000 	 14800.3 
700.000000 	 34294.2 
725.000000 	 75434.2 
750.000000 	 158250 
775.000000 	 317918 
800.000000 	 613810 
825.000000 	 1.14253e+06 
850.000000 	 2.056e+06 
875.000000 	 3.58581e+06 
900.000000 	 6.07463e+06 
925.000000 	 1.00159e+07 
950.000000 	 1.61018e+07 
975.000000 	 2.52804e+07 
1000.000000 	 3.88202e+07 
1025.000000 	 5.83819e+07 
1050.000000 	 8.60944e+07 
1075.000000 	 1.24633e+08 
1100.000000 	 1.77296e+08 
1125.000000 	 2.48072e+08 
1150.000000 	 3.41697e+08 
1175.000000 	 4.63697e+08 
1200.000000 	 6.20397e+08 
1225.000000 	 8.18916e+08 
1250.000000 	 1.06711e+09 
1275.000000 	 1.37348e+09 
1300.000000 	 1.74706e+09 
1325.000000 	 2.19722e+09 
1350.000000 	 2.73343e+09 
1375.000000 	 3.36502e+09 
1400.000000 	 4.10087e+09 
1425.000000 	 4.94903e+09 
1450.000000 	 5.91637e+09 
1475.000000 	 7.00824e+09 
1500.000000 	 8.22802e+09 
1525.000000 	 9.57682e+09 
1550.000000 	 1.10532e+10 
1575.000000 	 1.26527e+10 
1600.000000 	 1.43681e+10 
1625.000000 	 1.61891e+10 
1650.000000 	 1.81025e+10 
1675.000000 	 2.00927e+10 
1700.000000 	 2.2142e+10 
1725.000000 	 2.42318e+10 
1750.000000 	 2.63436e+10 
1775.000000 	 2.84603e+10 
1800.000000 	 3.05686e+10 
1825.000000 	 3.26612e+10 
1850.000000 	 3.47396e+10 
1875.000000 	 3.68176e+10 
1900.000000 	 3.89253e+10 
1925.000000 	 4.1114e+10 
1950.000000 	 4.34612e+10 
1975.000000 	 4.6077e+10 
2000.000000 	 4.91106e+10 
