Rates for C4H71-3=C2H4+C2H3
P = 1.0E-1
T (K) 	 k 
200.000000 	 5.81417e-51 
225.000000 	 1.57897e-43 
250.000000 	 1.25977e-37 
275.000000 	 7.80405e-33 
300.000000 	 7.17158e-29 
325.000000 	 1.533e-25 
350.000000 	 1.05559e-22 
375.000000 	 2.98997e-20 
400.000000 	 4.20186e-18 
425.000000 	 3.37431e-16 
450.000000 	 1.71331e-14 
475.000000 	 5.89437e-13 
500.000000 	 1.44209e-11 
525.000000 	 2.60458e-10 
550.000000 	 3.5859e-09 
575.000000 	 3.87351e-08 
600.000000 	 3.36998e-07 
625.000000 	 2.4176e-06 
650.000000 	 1.46041e-05 
675.000000 	 7.56716e-05 
700.000000 	 0.000341835 
725.000000 	 0.0013656 
750.000000 	 0.00488521 
775.000000 	 0.0158223 
800.000000 	 0.0468468 
825.000000 	 0.127882 
850.000000 	 0.324287 
875.000000 	 0.769016 
900.000000 	 1.71554 
925.000000 	 3.61923 
950.000000 	 7.25489 
975.000000 	 13.8765 
1000.000000 	 25.422 
1025.000000 	 44.7611 
1050.000000 	 75.9788 
1075.000000 	 124.679 
1100.000000 	 198.29 
1125.000000 	 306.344 
1150.000000 	 460.707 
1175.000000 	 675.732 
1200.000000 	 968.306 
1225.000000 	 1357.78 
1250.000000 	 1865.79 
1275.000000 	 2515.87 
1300.000000 	 3333.08 
1325.000000 	 4343.36 
1350.000000 	 5572.96 
1375.000000 	 7047.68 
1400.000000 	 8792.16 
1425.000000 	 10829.2 
1450.000000 	 13178.9 
1475.000000 	 15858.5 
1500.000000 	 18881.2 
1525.000000 	 22256.3 
1550.000000 	 25988.7 
1575.000000 	 30078.6 
1600.000000 	 34521.9 
1625.000000 	 39309.6 
1650.000000 	 44428.6 
1675.000000 	 49861.8 
1700.000000 	 55588.3 
1725.000000 	 61584.1 
1750.000000 	 67822.3 
1775.000000 	  74274 
1800.000000 	 80908.3 
1825.000000 	 87693.4 
1850.000000 	 94596.8 
1875.000000 	 101586 
1900.000000 	 108628 
1925.000000 	 115691 
1950.000000 	 122745 
1975.000000 	 129760 
2000.000000 	 136708 
