Rates for C4H71-3=C2H4+C2H3
P = 1.0E0
T (K) 	 k 
200.000000 	 6.34315e-52 
225.000000 	 1.57233e-44 
250.000000 	 1.22203e-38 
275.000000 	 7.69643e-34 
300.000000 	 7.39158e-30 
325.000000 	 1.67662e-26 
350.000000 	 1.22898e-23 
375.000000 	 3.67588e-21 
400.000000 	 5.37721e-19 
425.000000 	 4.45298e-17 
450.000000 	 2.34908e-15 
475.000000 	 8.62189e-14 
500.000000 	 2.33112e-12 
525.000000 	 4.79827e-11 
550.000000 	 7.67771e-10 
575.000000 	 9.72275e-09 
600.000000 	 9.92505e-08 
625.000000 	 8.32257e-07 
650.000000 	 5.83992e-06 
675.000000 	 3.48944e-05 
700.000000 	 0.000180405 
725.000000 	 0.000818725 
750.000000 	 0.00330376 
775.000000 	 0.01199 
800.000000 	 0.0395334 
825.000000 	 0.119493 
850.000000 	 0.33374 
875.000000 	 0.867434 
900.000000 	 2.11135 
925.000000 	 4.83974 
950.000000 	 10.5004 
975.000000 	 21.6604 
1000.000000 	 42.6548 
1025.000000 	 80.4815 
1050.000000 	 145.976 
1075.000000 	 255.283 
1100.000000 	 431.613 
1125.000000 	 707.243 
1150.000000 	 1125.69 
1175.000000 	 1743.95 
1200.000000 	 2634.68 
1225.000000 	 3888.21 
1250.000000 	 5614.14 
1275.000000 	 7942.54 
1300.000000 	 11024.5 
1325.000000 	 15032.1 
1350.000000 	 20157.6 
1375.000000 	 26611.8 
1400.000000 	 34622.3 
1425.000000 	 44430.3 
1450.000000 	 56287.9 
1475.000000 	 70454.4 
1500.000000 	 87192.7 
1525.000000 	 106766 
1550.000000 	 129435 
1575.000000 	 155452 
1600.000000 	 185062 
1625.000000 	 218498 
1650.000000 	 255983 
1675.000000 	 297723 
1700.000000 	 343911 
1725.000000 	 394728 
1750.000000 	 450340 
1775.000000 	 510905 
1800.000000 	 576569 
1825.000000 	 647469 
1850.000000 	 723740 
1875.000000 	 805512 
1900.000000 	 892916 
1925.000000 	 986083 
1950.000000 	 1.08515e+06 
1975.000000 	 1.19026e+06 
2000.000000 	 1.30155e+06 
