Rates for CH2CH2CHO=C2H5+CO
P = 9.869E-1
T (K) 	 k 
200.000000 	 1.27003e-17 
225.000000 	 3.05709e-15 
250.000000 	 2.74701e-13 
275.000000 	 1.19335e-11 
300.000000 	 2.98288e-10 
325.000000 	 4.84524e-09 
350.000000 	 5.5836e-08 
375.000000 	 4.87109e-07 
400.000000 	 3.3788e-06 
425.000000 	 1.93516e-05 
450.000000 	 9.42509e-05 
475.000000 	 0.000399554 
500.000000 	 0.00150194 
525.000000 	 0.00508186 
550.000000 	 0.015667 
575.000000 	 0.0444538 
600.000000 	 0.117066 
625.000000 	 0.28815 
650.000000 	 0.666948 
675.000000 	 1.45918 
700.000000 	 3.03129 
725.000000 	 6.00305 
750.000000 	 11.3725 
775.000000 	 20.6739 
800.000000 	 36.163 
825.000000 	 61.0159 
850.000000 	 99.5196 
875.000000 	 157.222 
900.000000 	 241.003 
925.000000 	 359.033 
950.000000 	 520.586 
975.000000 	 735.709 
1000.000000 	 1014.79 
1025.000000 	 1368.12 
1050.000000 	 1805.69 
1075.000000 	 2337.58 
1100.000000 	 2975.32 
1125.000000 	 3735.26 
1150.000000 	 4644.62 
1175.000000 	 5751.88 
1200.000000 	 7142.95 
1225.000000 	 8965.5 
1250.000000 	 11464.1 
1275.000000 	  15029 
1300.000000 	 20263.5 
1325.000000 	 28072.7 
1350.000000 	 39780.8 
1375.000000 	 57281.7 
1400.000000 	 83231.1 
1425.000000 	 121287 
1450.000000 	 176407 
1475.000000 	 255217 
1500.000000 	 366457 
1525.000000 	 521517 
1550.000000 	 735080 
1575.000000 	 1.02589e+06 
1600.000000 	 1.41766e+06 
1625.000000 	 1.94011e+06 
1650.000000 	 2.63022e+06 
1675.000000 	 3.53366e+06 
1700.000000 	 4.70644e+06 
1725.000000 	 6.21681e+06 
1750.000000 	 8.14742e+06 
1775.000000 	 1.05978e+07 
1800.000000 	 1.36873e+07 
1825.000000 	 1.75579e+07 
1850.000000 	 2.23783e+07 
1875.000000 	 2.83475e+07 
1900.000000 	 3.56996e+07 
1925.000000 	 4.47086e+07 
1950.000000 	 5.56945e+07 
1975.000000 	 6.90287e+07 
2000.000000 	 8.51419e+07 
