Rates for CH2CH2CHO=C2H5+CO
P = 9.869E1
T (K) 	 k 
200.000000 	 4.17912e-16 
225.000000 	 4.2109e-14 
250.000000 	 1.70499e-12 
275.000000 	 3.48065e-11 
300.000000 	 4.26292e-10 
325.000000 	 3.76045e-09 
350.000000 	 2.99979e-08 
375.000000 	 2.50721e-07 
400.000000 	 2.05946e-06 
425.000000 	 1.48994e-05 
450.000000 	 9.1252e-05 
475.000000 	 0.000475281 
500.000000 	 0.00214285 
525.000000 	 0.00852298 
550.000000 	 0.0304136 
575.000000 	 0.0987653 
600.000000 	 0.295363 
625.000000 	 0.821534 
650.000000 	 2.14298 
675.000000 	 5.27935 
700.000000 	 12.3567 
725.000000 	 27.6187 
750.000000 	 59.2104 
775.000000 	 122.222 
800.000000 	 243.727 
825.000000 	 470.911 
850.000000 	 883.846 
875.000000 	 1615.15 
900.000000 	 2879.61 
925.000000 	 5017.99 
950.000000 	 8560.77 
975.000000 	 14319.3 
1000.000000 	 23514.2 
1025.000000 	 37954.8 
1050.000000 	 60283.9 
1075.000000 	 94312.4 
1100.000000 	 145466 
1125.000000 	 221383 
1150.000000 	 332695 
1175.000000 	 494052 
1200.000000 	 725445 
1225.000000 	 1.0539e+06 
1250.000000 	 1.51566e+06 
1275.000000 	 2.15888e+06 
1300.000000 	 3.04712e+06 
1325.000000 	 4.26358e+06 
1350.000000 	 5.91646e+06 
1375.000000 	 8.14553e+06 
1400.000000 	 1.11302e+07 
1425.000000 	 1.50993e+07 
1450.000000 	 2.0343e+07 
1475.000000 	 2.72277e+07 
1500.000000 	 3.62126e+07 
1525.000000 	 4.78714e+07 
1550.000000 	 6.29168e+07 
1575.000000 	 8.22298e+07 
1600.000000 	 1.06896e+08 
1625.000000 	 1.38244e+08 
1650.000000 	 1.779e+08 
1675.000000 	 2.27836e+08 
1700.000000 	 2.90446e+08 
1725.000000 	 3.68618e+08 
1750.000000 	 4.65824e+08 
1775.000000 	 5.86227e+08 
1800.000000 	 7.34801e+08 
1825.000000 	 9.1747e+08 
1850.000000 	 1.14127e+09 
1875.000000 	 1.41452e+09 
1900.000000 	 1.74706e+09 
1925.000000 	 2.15045e+09 
1950.000000 	 2.63829e+09 
1975.000000 	 3.22647e+09 
2000.000000 	 3.93359e+09 
