Rates for CH2CH2CHO=CH2CHCHOH
P = 9.869E-1
T (K) 	 k 
200.000000 	 1.28704e-22 
225.000000 	 3.35536e-19 
250.000000 	 1.89312e-16 
275.000000 	 3.49543e-14 
300.000000 	 2.78432e-12 
325.000000 	 1.15906e-10 
350.000000 	 2.89239e-09 
375.000000 	 4.78565e-08 
400.000000 	 5.6623e-07 
425.000000 	 5.07555e-06 
450.000000 	 3.60453e-05 
475.000000 	 0.000210066 
500.000000 	 0.00103309 
525.000000 	 0.00438502 
550.000000 	 0.0163607 
575.000000 	 0.0544735 
600.000000 	 0.1639 
625.000000 	 0.450384 
650.000000 	 1.14052 
675.000000 	 2.68218 
700.000000 	 5.89694 
725.000000 	 12.1905 
750.000000 	 23.8151 
775.000000 	 44.1588 
800.000000 	 78.0151 
825.000000 	 131.762 
850.000000 	 213.362 
875.000000 	 332.106 
900.000000 	 498.013 
925.000000 	 720.898 
950.000000 	 1009.15 
975.000000 	 1368.41 
1000.000000 	 1800.51 
1025.000000 	 2303.12 
1050.000000 	 2870.82 
1075.000000 	 3498.6 
1100.000000 	 4188.6 
1125.000000 	 4961.66 
1150.000000 	 5874.77 
1175.000000 	 7046.16 
1200.000000 	 8689.42 
1225.000000 	 11158.2 
1250.000000 	 15003.3 
1275.000000 	  21043 
1300.000000 	  30449 
1325.000000 	 44847.9 
1350.000000 	 66440.1 
1375.000000 	 98136.8 
1400.000000 	 143716 
1425.000000 	 207995 
1450.000000 	 297028 
1475.000000 	 418313 
1500.000000 	 581029 
1525.000000 	 796279 
1550.000000 	 1.07737e+06 
1575.000000 	 1.44006e+06 
1600.000000 	 1.90293e+06 
1625.000000 	 2.48763e+06 
1650.000000 	 3.21921e+06 
1675.000000 	 4.12652e+06 
1700.000000 	 5.24252e+06 
1725.000000 	 6.60462e+06 
1750.000000 	 8.2551e+06 
1775.000000 	 1.02415e+07 
1800.000000 	 1.26168e+07 
1825.000000 	 1.54404e+07 
1850.000000 	 1.87775e+07 
1875.000000 	 2.27006e+07 
1900.000000 	 2.72893e+07 
1925.000000 	 3.26305e+07 
1950.000000 	 3.88194e+07 
1975.000000 	 4.59596e+07 
2000.000000 	 5.41633e+07 
