Rates for CH2CH2CHO=CH2CHCHOH
P = 9.869E1
T (K) 	 k 
200.000000 	 4.64988e-24 
225.000000 	 6.98279e-21 
250.000000 	 2.79493e-18 
275.000000 	 4.2219e-16 
300.000000 	 3.04135e-14 
325.000000 	 1.2304e-12 
350.000000 	 3.145e-11 
375.000000 	 5.54163e-10 
400.000000 	 7.18979e-09 
425.000000 	 7.22592e-08 
450.000000 	 5.85331e-07 
475.000000 	 3.94357e-06 
500.000000 	 2.26614e-05 
525.000000 	 0.000113354 
550.000000 	 0.000501842 
575.000000 	 0.00199358 
600.000000 	 0.007188 
625.000000 	 0.0237507 
650.000000 	 0.0725112 
675.000000 	 0.205996 
700.000000 	 0.547894 
725.000000 	 1.37166 
750.000000 	 3.24758 
775.000000 	 7.30223 
800.000000 	 15.6514 
825.000000 	 32.0854 
850.000000 	 63.0996 
875.000000 	 119.371 
900.000000 	 217.774 
925.000000 	 384.018 
950.000000 	 655.948 
975.000000 	 1087.56 
1000.000000 	 1753.8 
1025.000000 	 2756.34 
1050.000000 	 4230.92 
1075.000000 	 6357.64 
1100.000000 	 9376.74 
1125.000000 	 13614.8 
1150.000000 	 19529.9 
1175.000000 	 27788.7 
1200.000000 	 39398.5 
1225.000000 	 55923.7 
1250.000000 	 79837.2 
1275.000000 	 115071 
1300.000000 	 167862 
1325.000000 	 248020 
1350.000000 	 370790 
1375.000000 	 559536 
1400.000000 	 849551 
1425.000000 	 1.29335e+06 
1450.000000 	 1.96799e+06 
1475.000000 	 2.98493e+06 
1500.000000 	 4.50328e+06 
1525.000000 	 6.74739e+06 
1550.000000 	 1.00298e+07 
1575.000000 	 1.47811e+07 
1600.000000 	 2.15884e+07 
1625.000000 	 3.12441e+07 
1650.000000 	 4.48079e+07 
1675.000000 	 6.36846e+07 
1700.000000 	 8.97209e+07 
1725.000000 	 1.25325e+08 
1750.000000 	 1.73616e+08 
1775.000000 	 2.38603e+08 
1800.000000 	 3.25404e+08 
1825.000000 	 4.40516e+08 
1850.000000 	 5.92132e+08 
1875.000000 	 7.9053e+08 
1900.000000 	 1.04853e+09 
1925.000000 	 1.38202e+09 
1950.000000 	 1.81066e+09 
1975.000000 	 2.35857e+09 
2000.000000 	 3.05528e+09 
