Rates for CH2CHCHOH=C2H4+HCO
P = 9.869E-4
T (K) 	 k 
200.000000 	 5.31784e-28 
225.000000 	 1.78271e-23 
250.000000 	 6.71061e-20 
275.000000 	 5.21833e-17 
300.000000 	 1.26031e-14 
325.000000 	 1.25553e-12 
350.000000 	 6.31865e-11 
375.000000 	 1.85997e-09 
400.000000 	 3.5609e-08 
425.000000 	 4.78935e-07 
450.000000 	 4.79094e-06 
475.000000 	 3.72306e-05 
500.000000 	 0.000232654 
525.000000 	 0.00120268 
550.000000 	 0.00526667 
575.000000 	 0.0199364 
600.000000 	 0.0663759 
625.000000 	 0.19729 
650.000000 	 0.530308 
675.000000 	 1.30356 
700.000000 	 2.95883 
725.000000 	 6.25405 
750.000000 	 12.4009 
775.000000 	 23.2166 
800.000000 	 41.2718 
825.000000 	 70.0137 
850.000000 	 113.841 
875.000000 	 178.113 
900.000000 	 269.075 
925.000000 	 393.709 
950.000000 	 559.492 
975.000000 	 774.105 
1000.000000 	 1045.09 
1025.000000 	 1379.5 
1050.000000 	 1783.53 
1075.000000 	 2262.21 
1100.000000 	 2819.14 
1125.000000 	 3456.3 
1150.000000 	 4173.91 
1175.000000 	 4970.37 
1200.000000 	 5842.32 
1225.000000 	 6784.75 
1250.000000 	 7791.09 
1275.000000 	 8853.49 
1300.000000 	 9963.01 
1325.000000 	 11109.9 
1350.000000 	 12283.8 
1375.000000 	 13474.1 
1400.000000 	 14670.1 
1425.000000 	 15861.2 
1450.000000 	 17037.5 
1475.000000 	 18189.1 
1500.000000 	 19307.3 
1525.000000 	 20383.8 
1550.000000 	 21411.5 
1575.000000 	 22383.8 
1600.000000 	 23295.6 
1625.000000 	 24142.3 
1650.000000 	 24920.4 
1675.000000 	 25627.4 
1700.000000 	 26261.5 
1725.000000 	 26821.8 
1750.000000 	 27308.1 
1775.000000 	 27720.9 
1800.000000 	 28061.3 
1825.000000 	 28330.9 
1850.000000 	 28531.8 
1875.000000 	 28666.4 
1900.000000 	 28737.5 
1925.000000 	 28748.2 
1950.000000 	 28701.7 
1975.000000 	 28601.3 
2000.000000 	 28450.6 
