Rates for CH2CHCHOH=C2H4+HCO
P = 9.869E1
T (K) 	 k 
200.000000 	 3.03642e-38 
225.000000 	 4.88145e-33 
250.000000 	 7.29985e-29 
275.000000 	 1.93669e-25 
300.000000 	 1.40239e-22 
325.000000 	 3.73573e-20 
350.000000 	 4.53192e-18 
375.000000 	 2.92927e-16 
400.000000 	 1.13589e-14 
425.000000 	 2.8989e-13 
450.000000 	 5.24942e-12 
475.000000 	 7.18822e-11 
500.000000 	 7.86475e-10 
525.000000 	 7.20035e-09 
550.000000 	 5.71058e-08 
575.000000 	 4.00826e-07 
600.000000 	 2.51502e-06 
625.000000 	 1.41576e-05 
650.000000 	 7.16332e-05 
675.000000 	 0.000326676 
700.000000 	 0.00134859 
725.000000 	 0.0050678 
750.000000 	 0.017444 
775.000000 	 0.0553544 
800.000000 	 0.162957 
825.000000 	 0.447717 
850.000000 	 1.15441 
875.000000 	 2.80783 
900.000000 	 6.47233 
925.000000 	 14.1997 
950.000000 	 29.7648 
975.000000 	 59.8208 
1000.000000 	 115.64 
1025.000000 	 215.636 
1050.000000 	 388.893 
1075.000000 	 679.938 
1100.000000 	   1155 
1125.000000 	 1909.97 
1150.000000 	 3080.3 
1175.000000 	 4852.85 
1200.000000 	 7479.96 
1225.000000 	 11295.5 
1250.000000 	 16732.9 
1275.000000 	 24345.1 
1300.000000 	 34825.6 
1325.000000 	 49030.6 
1350.000000 	 68002.4 
1375.000000 	 92991.3 
1400.000000 	 125478 
1425.000000 	 167196 
1450.000000 	 220149 
1475.000000 	 286626 
1500.000000 	 369219 
1525.000000 	 470833 
1550.000000 	 594688 
1575.000000 	 744327 
1600.000000 	 923611 
1625.000000 	 1.13671e+06 
1650.000000 	 1.38812e+06 
1675.000000 	 1.68258e+06 
1700.000000 	 2.02515e+06 
1725.000000 	 2.4211e+06 
1750.000000 	 2.87594e+06 
1775.000000 	 3.39538e+06 
1800.000000 	 3.9853e+06 
1825.000000 	 4.65168e+06 
1850.000000 	 5.40064e+06 
1875.000000 	 6.23834e+06 
1900.000000 	 7.17099e+06 
1925.000000 	 8.20479e+06 
1950.000000 	 9.3459e+06 
1975.000000 	 1.06004e+07 
2000.000000 	 1.19744e+07 
