Rates for CH3CHCHO=CH2CHCHOH
P = 9.869E-3
T (K) 	 k 
200.000000 	 8.33795e-17 
225.000000 	 1.39889e-14 
250.000000 	 8.89429e-13 
275.000000 	 2.77862e-11 
300.000000 	 5.07658e-10 
325.000000 	 6.13161e-09 
350.000000 	 5.38068e-08 
375.000000 	 3.74789e-07 
400.000000 	 2.29031e-06 
425.000000 	 1.34987e-05 
450.000000 	 7.90989e-05 
475.000000 	 0.00044146 
500.000000 	 0.002225 
525.000000 	 0.00986341 
550.000000 	 0.0383197 
575.000000 	 0.131439 
600.000000 	 0.402515 
625.000000 	 1.11349 
650.000000 	 2.81326 
675.000000 	 6.55611 
700.000000 	 14.2162 
725.000000 	 28.9032 
750.000000 	 55.4663 
775.000000 	 101.059 
800.000000 	 175.716 
825.000000 	 292.879 
850.000000 	 469.821 
875.000000 	 727.889 
900.000000 	 1092.54 
925.000000 	 1593.13 
950.000000 	 2262.44 
975.000000 	 3135.98 
1000.000000 	 4251.09 
1025.000000 	 5645.86 
1050.000000 	 7358.01 
1075.000000 	 9423.69 
1100.000000 	 11876.4 
1125.000000 	 14745.7 
1150.000000 	 18056.8 
1175.000000 	 21829.2 
1200.000000 	 26076.6 
1225.000000 	 30806.4 
1250.000000 	 36019.7 
1275.000000 	 41711.1 
1300.000000 	 47869.3 
1325.000000 	 54477.4 
1350.000000 	 61513.3 
1375.000000 	 68950.7 
1400.000000 	 76759.6 
1425.000000 	 84907.2 
1450.000000 	 93358.8 
1475.000000 	 102078 
1500.000000 	 111030 
1525.000000 	 120177 
1550.000000 	 129486 
1575.000000 	 138923 
1600.000000 	 148458 
1625.000000 	 158065 
1650.000000 	 167718 
1675.000000 	 177400 
1700.000000 	 187094 
1725.000000 	 196788 
1750.000000 	 206478 
1775.000000 	 216161 
1800.000000 	 225842 
1825.000000 	 235529 
1850.000000 	 245237 
1875.000000 	 254984 
1900.000000 	 264795 
1925.000000 	 274700 
1950.000000 	 284733 
1975.000000 	 294932 
2000.000000 	 305344 
