Rates for CH3CHCHO=CH2CHCHOH
P = 9.869E1
T (K) 	 k 
200.000000 	 9.8301e-17 
225.000000 	 1.51296e-14 
250.000000 	 9.21422e-13 
275.000000 	 2.83857e-11 
300.000000 	 5.21779e-10 
325.000000 	 6.43002e-09 
350.000000 	 5.80366e-08 
375.000000 	 4.14448e-07 
400.000000 	 2.53304e-06 
425.000000 	 1.43153e-05 
450.000000 	 7.85296e-05 
475.000000 	 0.000417177 
500.000000 	 0.00207746 
525.000000 	 0.00942471 
550.000000 	 0.0384629 
575.000000 	 0.141138 
600.000000 	 0.468338 
625.000000 	 1.41678 
650.000000 	 3.94085 
675.000000 	 10.1619 
700.000000 	 24.4744 
725.000000 	 55.4256 
750.000000 	 118.73 
775.000000 	 241.853 
800.000000 	 470.661 
825.000000 	 878.666 
850.000000 	 1579.38 
875.000000 	 2742.28 
900.000000 	 4612.69 
925.000000 	 7535.97 
950.000000 	  11986 
975.000000 	 18597.8 
1000.000000 	 28204.3 
1025.000000 	 41876.7 
1050.000000 	 60967.2 
1075.000000 	 87154.5 
1100.000000 	 122490 
1125.000000 	 169445 
1150.000000 	 230955 
1175.000000 	 310467 
1200.000000 	 411978 
1225.000000 	 540074 
1250.000000 	 699963 
1275.000000 	 897505 
1300.000000 	 1.13923e+06 
1325.000000 	 1.43236e+06 
1350.000000 	 1.78482e+06 
1375.000000 	 2.20523e+06 
1400.000000 	 2.70291e+06 
1425.000000 	 3.28788e+06 
1450.000000 	 3.97081e+06 
1475.000000 	 4.76306e+06 
1500.000000 	 5.67656e+06 
1525.000000 	 6.72388e+06 
1550.000000 	 7.91812e+06 
1575.000000 	 9.27288e+06 
1600.000000 	 1.08022e+07 
1625.000000 	 1.25207e+07 
1650.000000 	 1.44431e+07 
1675.000000 	 1.65847e+07 
1700.000000 	 1.89608e+07 
1725.000000 	 2.15872e+07 
1750.000000 	 2.44796e+07 
1775.000000 	 2.76539e+07 
1800.000000 	 3.11261e+07 
1825.000000 	 3.49121e+07 
1850.000000 	 3.90279e+07 
1875.000000 	 4.34892e+07 
1900.000000 	 4.83117e+07 
1925.000000 	 5.3511e+07 
1950.000000 	 5.91022e+07 
1975.000000 	 6.51005e+07 
2000.000000 	 7.15204e+07 
